"cluster_set","featset","focgene","subtype","min.node.size","splitrule","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"60_7","nuc_4mer","PB2","H5N1","25","gini",16,0.954326776576064,0.700967107484647,0.0125253248529446,0.0769997465386004
"60_7","nuc_4mer","PB2","H5N1","45","gini",16,0.944500177323842,0.664567897469036,0.0205936137973931,0.0892255567193176
"60_7","nuc_4mer","PB2","H5N6","5","gini",16,0.951986813970064,0.687458817675364,0.0144061829577349,0.0888785281919492
"60_7","nuc_4mer","PB2","H5N6","25","gini",16,0.947074720836303,0.664116096097215,0.0143921132080283,0.0872176064013166
"60_7","nuc_4mer","PB2","H5N6","45","gini",16,0.939427417438822,0.635944700902418,0.0131781615611309,0.0780550178055627
"60_7","nuc_4mer","PB2","H7N3","5","gini",16,0.953285329957272,0.673014570906744,0.0219639333925755,0.182490635700494
"60_7","nuc_4mer","PB2","H7N3","25","gini",16,0.947659439784776,0.655466786019782,0.0270285221895892,0.209515385544561
"60_7","nuc_4mer","PB2","H7N3","45","gini",16,0.941462256686185,0.630080615170697,0.0240793977260629,0.184698528919457
"60_7","nuc_4mer","PB2","H7N4","5","gini",16,0.957823885918004,0.70428287180842,0.0078560862155593,0.0560850825037687
"60_7","nuc_4mer","PB2","H7N4","25","gini",16,0.948221033868093,0.661560272158271,0.0118256381357573,0.0715577886268356
"60_7","nuc_4mer","PB2","H7N4","45","gini",16,0.944483422459893,0.654347248980805,0.0147462188880875,0.074631015912006
"60_7","nuc_4mer","PB2","H7N7","5","gini",16,0.955934974116792,0.707415263056066,0.0126506010771859,0.0834624235185087
"60_7","nuc_4mer","PB2","H7N7","25","gini",16,0.94932794478249,0.6762234217019,0.0121374783899572,0.0801388636477442
"60_7","nuc_4mer","PB2","H7N7","45","gini",16,0.944926285835377,0.66243512562884,0.00853699478543721,0.0534856029124824
"60_7","nuc_4mer","PB2","H7N9","5","gini",16,0.975309642918751,0.136064209855509,0.00261784769410252,0.13427305725649
"60_7","nuc_4mer","PB2","H7N9","25","gini",16,0.974134897360704,0.102769255149458,0.00242994704476693,0.0971179618060284
"60_7","nuc_4mer","PB2","H7N9","45","gini",16,0.974136622390892,0.139171041339191,0.00379482921459866,0.0807157835117031
"60_7","nuc_4mer","PB2","H8N4","5","gini",16,0.955586318025342,0.704805426952479,0.00774617704603354,0.0484908668027227
"60_7","nuc_4mer","PB2","H8N4","25","gini",16,0.950173588222369,0.682307008651306,0.0118232865778178,0.0571421787785463
"60_7","nuc_4mer","PB2","H8N4","45","gini",16,0.945297004321395,0.667016366057552,0.0131241878095028,0.0588302355640816
