"cluster_set","featset","focgene","subtype","alpha","lambda","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","nuc_5mer","PB2","H5N6",0.5,0.1,0.802842053403839,0.342133378105877,0.0169456094877683,0.027394841456991
"70_7","nuc_5mer","PB2","H5N6",0.5,1,0.583524188923199,0,0.463541662045973,0
"70_7","nuc_5mer","PB2","H5N6",0.5,10,0.583524188923199,0,0.463541662045973,0
"70_7","nuc_5mer","PB2","H5N6",1,0.001,0.949406636931394,0.685468219163055,0.00571786107734042,0.0376275969420131
"70_7","nuc_5mer","PB2","H5N6",1,0.01,0.906378306822941,0.54043113939788,0.0104329621450108,0.040682004235289
"70_7","nuc_5mer","PB2","H5N6",1,0.1,0.781555347539716,0.310158676096597,0.0103628061743962,0.0258657816786309
"70_7","nuc_5mer","PB2","H5N6",1,1,0.583524188923199,0,0.463541662045973,0
"70_7","nuc_5mer","PB2","H5N6",1,10,0.583524188923199,0,0.463541662045973,0
"70_7","nuc_5mer","PB2","H7N3",0,0.001,0.934615829828414,0.615285257828657,0.0100054985929001,0.0446940687857663
"70_7","nuc_5mer","PB2","H7N3",0,0.01,0.934615829828414,0.615285257828657,0.0100054985929001,0.0446940687857663
"70_7","nuc_5mer","PB2","H7N3",0,0.1,0.917665618292577,0.554613076909009,0.00726647185542337,0.0313316134472195
"70_7","nuc_5mer","PB2","H7N3",0,1,0.846798867259711,0.403021304226502,0.0240330821748598,0.0528792187103838
"70_7","nuc_5mer","PB2","H7N3",0,10,0.797889765635662,0.325625005651178,0.0280653817532337,0.0289157820103725
"70_7","nuc_5mer","PB2","H7N3",0.5,0.001,0.950100873438295,0.673129882490992,0.00768345430145454,0.0325551988073398
"70_7","nuc_5mer","PB2","H7N3",0.5,0.01,0.9251394833811,0.583600104276329,0.0102331052141009,0.0357937432789961
"70_7","nuc_5mer","PB2","H7N3",0.5,0.1,0.798879790573318,0.323937804475331,0.0291775917647229,0.0441223751290811
"70_7","nuc_5mer","PB2","H7N3",0.5,1,0.584149439833253,0,0.467069905731881,0
"70_7","nuc_5mer","PB2","H7N3",0.5,10,0.584149439833253,0,0.467069905731881,0
"70_7","nuc_5mer","PB2","H7N3",1,0.001,0.94360585476607,0.640527804278853,0.011015322932718,0.0470665475939648
