"cluster_set","featset","focgene","subtype","cost","weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H4N6",0.1,0.166666666666667,0.928005265622824,0.621748092370222,0.0113955737198005,0.0514296679484467
"70_7","cds_compbias","HA","H4N6",0.1,0.333333333333333,0.937066946824804,0.637117620795231,0.00934625757736729,0.04202485662312
"70_7","cds_compbias","HA","H4N6",1,0.111111111111111,0.911891953470121,0.566825845092147,0.0131207132484108,0.0421081728311983
"70_7","cds_compbias","HA","H4N6",1,0.166666666666667,0.924983861372353,0.604278380687064,0.0107951643340642,0.042985963442233
"70_7","cds_compbias","HA","H4N6",1,0.333333333333333,0.943609736339126,0.672273533653441,0.00675103648070646,0.0315190460176927
"70_7","cds_compbias","HA","H4N6",10,0.111111111111111,0.908365505107401,0.553410372013298,0.0100776917877273,0.0319963200487749
"70_7","cds_compbias","HA","H4N6",10,0.166666666666667,0.929509005987114,0.62132609475312,0.00349550970411127,0.012639310551594
"70_7","cds_compbias","HA","H4N6",10,0.333333333333333,0.941092110426186,0.659444625990269,0.0051491530367476,0.0291330770537779
"70_7","cds_compbias","HA","H4N8",0.001,0.111111111111111,0.916698598366442,0.536735971411184,0.0143946844696587,0.040317277046157
"70_7","cds_compbias","HA","H4N8",0.001,0.166666666666667,0.929480241560508,0.572037505581441,0.0150157094144531,0.0637112937806333
"70_7","cds_compbias","HA","H4N8",0.001,0.333333333333333,0.939897818560721,0.614455151927807,0.016514115423085,0.0689934684604272
"70_7","cds_compbias","HA","H4N8",0.1,0.111111111111111,0.921435694038296,0.582360692152388,0.0176154503437109,0.0602669535857531
"70_7","cds_compbias","HA","H4N8",0.1,0.166666666666667,0.929482482381545,0.612899817736245,0.0204069344708281,0.0777634620674324
"70_7","cds_compbias","HA","H4N8",0.1,0.333333333333333,0.940840083806707,0.640788919123038,0.019023745205784,0.0854532500481022
"70_7","cds_compbias","HA","H4N8",1,0.111111111111111,0.925697735650342,0.596454478649603,0.0151338181157482,0.0562631360133967
"70_7","cds_compbias","HA","H4N8",1,0.166666666666667,0.931375976157664,0.617380718262063,0.0145169507326466,0.0542505470721874
"70_7","cds_compbias","HA","H4N8",1,0.333333333333333,0.938945469620069,0.635160241354428,0.0180082533870531,0.0734452295692632
"70_7","cds_compbias","HA","H4N8",10,0.111111111111111,0.921435694038296,0.588806831366284,0.0196547679484469,0.058931384885984
"70_7","cds_compbias","HA","H4N8",10,0.166666666666667,0.929956416030834,0.610387218167482,0.0158625358369938,0.0626428496949915
"70_7","cds_compbias","HA","H4N8",10,0.333333333333333,0.943210872463671,0.650287121694681,0.0145741758200499,0.079393968705835
"70_7","cds_compbias","HA","H5N1",0.001,0.111111111111111,0.931829573934837,0.598829405000286,0.00960916767552926,0.0411757577555413
"70_7","cds_compbias","HA","H5N1",0.001,0.166666666666667,0.938847117794486,0.629277596050589,0.0149957647134352,0.0637611346994376
"70_7","cds_compbias","HA","H5N1",0.001,0.333333333333333,0.950877192982456,0.679937131953723,0.0122268781129328,0.0546417321998931
